Species,Total,LLPS>0.5,RNA_dep>0.5
Triticum_aestivum,103925,11535,7064
Helianthus_annuus,86532,6263,4400
Populus_trichocarpa,55696,6373,4350
Glycine_max,55573,6247,4186
Medicago_truncatula,49796,3591,2382
Oryza_sativa,43182,3382,2165
Zea_mays,39143,4244,2838
Brachypodium_distachyon,33941,3429,2176
Solanum_lycopersicum,33917,2920,2014
Sorghum_bicolor,33774,3633,2295
Selaginella_moellendorffii,33115,3419,1810
Physcomitrium_patens,30137,2873,1888
Vitis_vinifera,28146,3103,2033
Amborella_trichopoda,27327,2149,1369
Arabidopsis_thaliana,27111,3463,2291
Coffea_canephora,25165,2787,1773
Marchantia_polymorpha,17782,1297,880
Chlamydomonas_reinhardtii,17588,988,621
Klebsormidium_nitens,16142,1460,901
Cyanidioschyzon_merolae,4981,320,138
TOTAL,762973,73476,47574
