Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	train	0.287882	0.898229	0.077121	0.046296	0.057859	0.560262	0.077755	0.00002000
300	val	0.246110	0.930201	0.000000	0.000000	0.000000	0.638508	0.097040	0.00002000
600	train	0.255864	0.929063	0.000000	0.000000	0.000000	0.577340	0.082264	0.00002000
600	val	0.243689	0.930201	0.000000	0.000000	0.000000	0.642165	0.100688	0.00002000
900	train	0.246787	0.931771	0.000000	0.000000	0.000000	0.600142	0.085959	0.00002000
900	val	0.242551	0.930201	0.000000	0.000000	0.000000	0.644127	0.102908	0.00002000
1200	train	0.245843	0.930729	0.000000	0.000000	0.000000	0.625198	0.101939	0.00002000
1200	val	0.257429	0.930201	0.000000	0.000000	0.000000	0.647250	0.105806	0.00002000
1500	train	0.247090	0.931562	0.000000	0.000000	0.000000	0.609812	0.089504	0.00002000
1500	val	0.246787	0.930201	0.000000	0.000000	0.000000	0.635795	0.101787	0.00002000
1500	test	0.242987	0.931685	0.000000	0.000000	0.000000	0.639427	0.102940	0.00002000
