Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	train	0.212208	0.912188	0.332681	0.252976	0.287405	0.849043	0.332787	0.00002000
300	val	0.143442	0.942399	0.590958	0.567735	0.579114	0.942825	0.576105	0.00002000
600	train	0.161931	0.937292	0.571429	0.411326	0.478336	0.920454	0.499718	0.00002000
600	val	0.219696	0.939007	0.787736	0.172699	0.283291	0.947049	0.608737	0.00002000
900	train	0.149762	0.942396	0.620853	0.400000	0.486537	0.924805	0.541113	0.00002000
900	val	0.196855	0.941605	0.811024	0.213030	0.337428	0.948838	0.620983	0.00002000
1200	train	0.140610	0.948750	0.678744	0.439063	0.533207	0.933768	0.589108	0.00002000
1200	val	0.151297	0.946658	0.772727	0.334023	0.466426	0.948434	0.625537	0.00002000
1500	train	0.146893	0.947292	0.695749	0.456681	0.551418	0.932198	0.592737	0.00002000
1500	val	0.162577	0.945214	0.809524	0.281282	0.417498	0.950342	0.630012	0.00002000
1800	train	0.142402	0.947500	0.658291	0.415873	0.509728	0.928160	0.555535	0.00002000
1800	val	0.128863	0.947596	0.667594	0.496381	0.569395	0.950780	0.631880	0.00002000
1800	test	0.151716	0.942312	0.584386	0.538624	0.560573	0.933633	0.546366	0.00002000
