Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	train	0.251149	0.931562	0.250000	0.012480	0.023774	0.637869	0.111203	0.00002000
300	val	0.292220	0.928180	0.444000	0.114788	0.182416	0.821183	0.273194	0.00002000
600	train	0.218815	0.931042	0.452381	0.058104	0.102981	0.780213	0.233206	0.00002000
600	val	0.242877	0.911361	0.374880	0.404343	0.389055	0.838897	0.326444	0.00002000
900	train	0.225600	0.927604	0.484127	0.088278	0.149327	0.786944	0.246921	0.00002000
900	val	0.441040	0.722679	0.180485	0.839710	0.297109	0.864124	0.367294	0.00002000
1200	train	0.211561	0.930625	0.536232	0.109467	0.181818	0.812917	0.290248	0.00002000
1200	val	0.341972	0.844955	0.266509	0.697001	0.385584	0.869035	0.365377	0.00002000
1500	train	0.204115	0.931979	0.558824	0.113602	0.188820	0.834035	0.313829	0.00002000
1500	val	0.222404	0.913238	0.391304	0.437435	0.413086	0.866220	0.348938	0.00002000
1800	train	0.201890	0.931042	0.522167	0.157973	0.242563	0.835007	0.333624	0.00002000
1800	val	0.379891	0.765988	0.202147	0.798345	0.322608	0.862813	0.306574	0.00002000
2100	train	0.194761	0.934966	0.534884	0.109005	0.181102	0.832787	0.294419	0.00002000
2100	val	0.225724	0.894760	0.336005	0.520165	0.408279	0.868570	0.345011	0.00002000
2400	train	0.203180	0.931458	0.543147	0.158519	0.245413	0.832007	0.326144	0.00002000
2400	val	0.519908	0.634474	0.151438	0.920372	0.260082	0.877862	0.390862	0.00002000
2700	train	0.192707	0.933333	0.568182	0.150602	0.238095	0.850266	0.343787	0.00002000
2700	val	0.324397	0.871229	0.309379	0.685626	0.426367	0.875863	0.320550	0.00002000
3000	train	0.181209	0.937917	0.573864	0.162379	0.253133	0.854880	0.369034	0.00002000
3000	val	0.566513	0.614263	0.146389	0.936918	0.253214	0.883313	0.392392	0.00002000
3300	train	0.198881	0.930833	0.585366	0.203966	0.302521	0.854469	0.387218	0.00002000
3300	val	0.418556	0.754656	0.201668	0.850052	0.325996	0.882851	0.416798	0.00002000
3600	train	0.185534	0.931667	0.519651	0.178947	0.266219	0.865503	0.370753	0.00002000
3600	val	0.374136	0.756965	0.202970	0.847983	0.327541	0.880507	0.354814	0.00002000
3900	train	0.184367	0.937396	0.607595	0.220859	0.323960	0.858893	0.390930	0.00002000
3900	val	0.380102	0.809153	0.240804	0.805584	0.370776	0.884937	0.379478	0.00002000
4200	train	0.185861	0.932361	0.528139	0.184290	0.273236	0.865594	0.387216	0.00002000
4200	val	0.450061	0.708315	0.177778	0.876939	0.295625	0.869697	0.301151	0.00002000
4200	test	0.326010	0.867418	0.289037	0.644444	0.399083	0.868158	0.283350	0.00002000
