Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	train	0.193166	0.925417	0.477876	0.310345	0.376307	0.878071	0.413103	0.00002000
300	val	0.168346	0.929840	0.498030	0.653568	0.565295	0.939631	0.562406	0.00002000
600	train	0.155411	0.944479	0.649510	0.404580	0.498589	0.917468	0.537539	0.00002000
600	val	0.136423	0.942688	0.585728	0.611169	0.598178	0.948790	0.615142	0.00002000
900	train	0.149481	0.943646	0.618304	0.428130	0.505936	0.928827	0.535116	0.00002000
900	val	0.131082	0.949473	0.701357	0.480869	0.570552	0.950300	0.625578	0.00002000
1200	train	0.147335	0.947500	0.665865	0.431464	0.523629	0.923753	0.568416	0.00002000
1200	val	0.123414	0.950700	0.683463	0.547053	0.607697	0.953885	0.644524	0.00002000
1500	train	0.138916	0.946458	0.638344	0.457098	0.532727	0.935671	0.580948	0.00002000
1500	val	0.162178	0.945503	0.685965	0.404343	0.508783	0.948767	0.612229	0.00002000
1800	train	0.132255	0.949375	0.683794	0.514881	0.587436	0.946093	0.657759	0.00002000
1800	val	0.126068	0.947308	0.777518	0.343330	0.476327	0.954803	0.648314	0.00002000
2100	train	0.146414	0.945180	0.667932	0.500711	0.572358	0.938234	0.600868	0.00002000
2100	val	0.121413	0.950484	0.649309	0.631851	0.640461	0.957379	0.662490	0.00002000
2400	train	0.125710	0.955833	0.728111	0.508039	0.598485	0.940666	0.658998	0.00002000
2400	val	0.122107	0.951783	0.669694	0.610134	0.638528	0.956807	0.662434	0.00002000
2700	train	0.133412	0.949583	0.693878	0.504451	0.584192	0.945316	0.639065	0.00002000
2700	val	0.123835	0.949978	0.654279	0.600827	0.626415	0.957224	0.655407	0.00002000
3000	train	0.130972	0.950521	0.703633	0.534884	0.607762	0.945142	0.679389	0.00002000
3000	val	0.119059	0.951133	0.681250	0.563599	0.616865	0.959246	0.671633	0.00002000
3300	train	0.129572	0.949792	0.665441	0.546828	0.600332	0.949823	0.635485	0.00002000
3300	val	0.124747	0.946514	0.609496	0.650465	0.629315	0.956321	0.649678	0.00002000
3600	train	0.121538	0.955104	0.710993	0.599402	0.650446	0.954961	0.684072	0.00002000
3600	val	0.127949	0.948896	0.621825	0.683557	0.651232	0.958680	0.673686	0.00002000
3900	train	0.128999	0.952604	0.734440	0.519824	0.608770	0.946781	0.688583	0.00002000
3900	val	0.121206	0.952866	0.676009	0.623578	0.648736	0.959497	0.674028	0.00002000
4200	train	0.118893	0.956436	0.734406	0.560676	0.635889	0.957872	0.696291	0.00002000
4200	val	0.119006	0.953010	0.681609	0.613237	0.645618	0.960365	0.675775	0.00002000
