Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
200	train	0.681776	0.602408	0.604287	0.591236	0.597690	0.644870	0.628445	0.00002000
200	val	0.626094	0.680233	0.637555	0.843931	0.726368	0.744093	0.707881	0.00002000
400	train	0.524247	0.748554	0.749846	0.754484	0.752158	0.820344	0.809268	0.00002000
400	val	0.750891	0.688953	0.643478	0.855491	0.734491	0.782713	0.736856	0.00002000
600	train	0.492757	0.775172	0.778727	0.768990	0.773828	0.848715	0.842178	0.00002000
600	val	0.729091	0.712209	0.679612	0.809249	0.738786	0.787175	0.752290	0.00002000
800	train	0.384050	0.837529	0.835549	0.842056	0.838790	0.909680	0.905699	0.00002000
800	val	0.958235	0.683140	0.633333	0.878613	0.736077	0.787986	0.750544	0.00002000
1000	train	0.330616	0.865676	0.866729	0.864290	0.865508	0.934467	0.931149	0.00002000
1000	val	1.185457	0.642442	0.588028	0.965318	0.730853	0.811277	0.777096	0.00002000
1200	train	0.320583	0.864603	0.871560	0.856921	0.864178	0.939514	0.941531	0.00002000
1200	val	0.834126	0.755814	0.732984	0.809249	0.769231	0.805429	0.778757	0.00002000
1400	train	0.246071	0.900235	0.898943	0.902310	0.900623	0.963426	0.962297	0.00002000
1400	val	1.343711	0.700581	0.650862	0.872832	0.745679	0.797012	0.767103	0.00002000
1600	train	0.283079	0.884128	0.880542	0.890134	0.885312	0.955687	0.955313	0.00002000
1600	val	0.962471	0.706395	0.655172	0.878613	0.750617	0.814251	0.776052	0.00002000
