Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	val	0.726254	0.644487	0.738562	0.434615	0.547215	0.715905	0.682382	0.00001951
400	val	0.635604	0.663498	0.734463	0.500000	0.594966	0.714705	0.688647	0.00001914
500	val	0.763675	0.629278	0.835052	0.311538	0.453782	0.724566	0.699452	0.00001866
600	val	0.669307	0.686312	0.729469	0.580769	0.646681	0.737233	0.716691	0.00001809
700	val	0.622080	0.674905	0.677291	0.653846	0.665362	0.743349	0.727607	0.00001743
800	val	0.636043	0.684411	0.662069	0.738462	0.698182	0.740977	0.737066	0.00001669
900	val	0.669033	0.686312	0.725118	0.588462	0.649682	0.752444	0.752728	0.00001588
1000	val	0.657315	0.682510	0.653465	0.761538	0.703375	0.747614	0.734665	0.00001500
1100	val	0.760228	0.692015	0.644118	0.842308	0.730000	0.745286	0.730312	0.00001407
1200	val	0.784546	0.663498	0.615599	0.850000	0.714055	0.759601	0.740919	0.00001309
1300	val	0.657331	0.709125	0.693141	0.738462	0.715084	0.764011	0.757999	0.00001208
1400	val	0.722203	0.697719	0.659306	0.803846	0.724437	0.748785	0.720768	0.00001105
