Epoch	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR
0	val	3.329734	0.593156	0.627778	0.434615	0.513636	0.664474	0.653972
10	val	2.892765	0.612167	0.637255	0.500000	0.560345	0.705957	0.701018
20	val	2.775950	0.673004	0.678862	0.642308	0.660079	0.722065	0.717671
30	val	2.624383	0.688213	0.692000	0.665385	0.678431	0.753195	0.732536
40	val	2.548355	0.640684	0.666667	0.546154	0.600423	0.719361	0.712289
50	val	2.448090	0.667300	0.685590	0.603846	0.642127	0.748959	0.747906
60	val	2.348086	0.688213	0.705128	0.634615	0.668016	0.762016	0.760171
70	val	2.355734	0.690114	0.667820	0.742308	0.703097	0.760367	0.747342
80	val	2.182210	0.682510	0.708520	0.607692	0.654244	0.747903	0.750372
90	val	2.079776	0.688213	0.700000	0.646154	0.672000	0.773106	0.772569
100	val	1.972086	0.709125	0.721992	0.669231	0.694611	0.772903	0.776051
110	val	1.939166	0.699620	0.725664	0.630769	0.674897	0.765103	0.768442
120	val	1.909851	0.709125	0.690391	0.746154	0.717190	0.772144	0.776844
130	val	1.768534	0.705323	0.710843	0.680769	0.695481	0.766982	0.765518
140	val	1.684994	0.716730	0.721116	0.696154	0.708415	0.766859	0.763105
150	val	1.595105	0.712928	0.744395	0.638462	0.687371	0.768240	0.768403
160	val	1.590224	0.707224	0.720833	0.665385	0.692000	0.772918	0.773175
170	val	1.480193	0.726236	0.737705	0.692308	0.714286	0.767510	0.772546
180	val	1.444189	0.726236	0.752174	0.665385	0.706122	0.762392	0.760347
190	val	1.395999	0.709125	0.708171	0.700000	0.704062	0.768537	0.770799
200	val	1.372623	0.728137	0.738776	0.696154	0.716832	0.767105	0.769869
210	val	1.249135	0.718631	0.718750	0.707692	0.713178	0.772730	0.768661
220	val	1.265711	0.714829	0.729167	0.673077	0.700000	0.769325	0.765433
230	val	1.165342	0.726236	0.723077	0.723077	0.723077	0.771573	0.767611
240	val	1.170994	0.720532	0.721569	0.707692	0.714563	0.775434	0.768969
250	val	1.169344	0.730038	0.737903	0.703846	0.720472	0.776525	0.764545
260	val	1.091875	0.724335	0.732794	0.696154	0.714004	0.776222	0.765393
270	val	1.160357	0.720532	0.728745	0.692308	0.710059	0.774884	0.764946
280	val	1.097802	0.722433	0.724409	0.707692	0.715953	0.778839	0.773300
290	val	1.128107	0.722433	0.722656	0.711538	0.717054	0.777754	0.770872
299	val	1.134452	0.731939	0.737052	0.711538	0.724070	0.778253	0.769175
