Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
100	train	0.648722	0.640000	0.628032	0.608355	0.618037	0.678022	0.656931	0.00019945
100	val	0.617403	0.661597	0.675214	0.607692	0.639676	0.715276	0.716891	0.00019945
200	train	0.607222	0.688750	0.707447	0.656790	0.681178	0.737947	0.720726	0.00019781
200	val	0.631261	0.678707	0.700441	0.611538	0.652977	0.743877	0.728947	0.00019781
300	train	0.588704	0.712500	0.742857	0.650000	0.693333	0.748384	0.747927	0.00019511
300	val	0.624219	0.663498	0.721925	0.519231	0.604027	0.727668	0.708223	0.00019511
400	train	0.556811	0.735183	0.767196	0.703883	0.734177	0.787233	0.785169	0.00019135
400	val	0.621192	0.671103	0.748571	0.503846	0.602299	0.750528	0.727127	0.00019135
500	train	0.514431	0.771250	0.790831	0.715026	0.751020	0.823340	0.808375	0.00018660
500	val	0.658309	0.684411	0.663194	0.734615	0.697080	0.757042	0.739092	0.00018660
600	train	0.549154	0.745000	0.775385	0.657963	0.711864	0.791048	0.775204	0.00018090
600	val	0.655660	0.690114	0.671378	0.730769	0.699816	0.761249	0.749333	0.00018090
700	train	0.431845	0.819672	0.843243	0.785894	0.813559	0.874246	0.873793	0.00017431
700	val	0.672872	0.693916	0.714286	0.634615	0.672098	0.751345	0.728381	0.00017431
800	train	0.453890	0.807500	0.815789	0.786802	0.801034	0.870252	0.856195	0.00016691
800	val	0.609798	0.712928	0.698182	0.738462	0.717757	0.772332	0.767830	0.00016691
900	train	0.498724	0.787500	0.798365	0.753213	0.775132	0.840257	0.834046	0.00015878
900	val	0.595915	0.718631	0.718750	0.707692	0.713178	0.775925	0.770067	0.00015878
1000	train	0.417200	0.823455	0.835655	0.787402	0.810811	0.893201	0.872082	0.00015000
1000	val	0.616772	0.720532	0.736402	0.676923	0.705411	0.774935	0.764308	0.00015000
1100	train	0.353096	0.868750	0.881013	0.857143	0.868914	0.916419	0.898127	0.00014067
1100	val	0.651018	0.735741	0.751037	0.696154	0.722555	0.783972	0.770500	0.00014067
1200	train	0.404411	0.831250	0.853333	0.800000	0.825806	0.895131	0.890579	0.00013090
1200	val	0.632037	0.735741	0.742972	0.711538	0.726916	0.788794	0.766823	0.00013090
1300	train	0.313278	0.886507	0.900510	0.873762	0.886935	0.933407	0.915939	0.00012079
1300	val	0.717674	0.735741	0.739130	0.719231	0.729045	0.790522	0.768705	0.00012079
1400	train	0.322181	0.887500	0.892421	0.888078	0.890244	0.925084	0.899987	0.00011045
1400	val	0.695891	0.737643	0.721014	0.765385	0.742537	0.794708	0.771191	0.00011045
1500	train	0.295035	0.895000	0.893151	0.878706	0.885870	0.943252	0.932249	0.00010000
1500	val	0.660068	0.750951	0.745247	0.753846	0.749522	0.796045	0.766912	0.00010000
1600	train	0.267450	0.900378	0.911458	0.886076	0.898588	0.950407	0.936268	0.00008955
1600	val	0.779372	0.743346	0.716263	0.796154	0.754098	0.788411	0.742666	0.00008955
1700	train	0.269976	0.910000	0.899749	0.918159	0.908861	0.948755	0.927226	0.00007921
1700	val	0.679911	0.743346	0.753036	0.715385	0.733728	0.800181	0.766176	0.00007921
1800	train	0.179234	0.948750	0.958763	0.937028	0.947771	0.968533	0.966067	0.00006910
1800	val	0.860542	0.733840	0.714286	0.769231	0.740741	0.784948	0.742586	0.00006910
1900	train	0.213405	0.930643	0.931122	0.928753	0.929936	0.962010	0.953512	0.00005933
1900	val	0.834701	0.747148	0.759184	0.715385	0.736634	0.812160	0.796940	0.00005933
2000	train	0.184142	0.945000	0.949749	0.940299	0.945000	0.970877	0.962346	0.00005000
2000	val	0.877203	0.743346	0.725632	0.773077	0.748603	0.793414	0.750774	0.00005000
2100	train	0.181153	0.947500	0.946950	0.941953	0.944444	0.971142	0.964463	0.00004122
2100	val	0.842295	0.747148	0.716724	0.807692	0.759494	0.793154	0.750436	0.00004122
2200	train	0.175696	0.944515	0.955665	0.937198	0.946341	0.973277	0.970860	0.00003309
2200	val	0.904561	0.735741	0.698361	0.819231	0.753982	0.783112	0.726726	0.00003309
2300	train	0.177148	0.948750	0.936893	0.962594	0.949569	0.972134	0.963889	0.00002569
2300	val	0.835911	0.745247	0.731618	0.765385	0.748120	0.791968	0.746057	0.00002569
2400	train	0.124894	0.971250	0.966837	0.974293	0.970551	0.981242	0.970900	0.00001910
2400	val	0.878672	0.741445	0.738462	0.738462	0.738462	0.800130	0.767976	0.00001910
2500	train	0.133898	0.964691	0.953317	0.977330	0.965174	0.977384	0.965964	0.00001340
2500	val	0.873320	0.752852	0.746212	0.757692	0.751908	0.794007	0.746180	0.00001340
2600	train	0.141249	0.962500	0.957393	0.967089	0.962217	0.977687	0.972921	0.00000865
2600	val	0.874726	0.749049	0.740602	0.757692	0.749049	0.790160	0.735541	0.00000865
2700	train	0.133855	0.963750	0.963145	0.965517	0.964330	0.980661	0.974116	0.00000489
2700	val	0.878730	0.743346	0.727273	0.769231	0.747664	0.787601	0.731971	0.00000489
2800	train	0.145291	0.960908	0.956410	0.963824	0.960103	0.970001	0.953069	0.00000219
2800	val	0.882648	0.749049	0.740602	0.757692	0.749049	0.790327	0.739200	0.00000219
final	test	0.821163	0.762357	0.739437	0.804598	0.770642	0.794448	0.778956	0
