Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
100	train	0.664961	0.591250	0.601036	0.572840	0.586599	0.639694	0.655893	0.00019945
100	val	0.620137	0.665399	0.725806	0.519231	0.605381	0.724357	0.718599	0.00019945
200	train	0.608777	0.682500	0.698276	0.619898	0.656757	0.736923	0.725008	0.00019781
200	val	0.644511	0.665399	0.701923	0.561538	0.623932	0.729894	0.722824	0.00019781
300	train	0.585536	0.707500	0.719198	0.648579	0.682065	0.764773	0.732345	0.00019511
300	val	0.643036	0.657795	0.658730	0.638462	0.648438	0.723316	0.712588	0.00019511
400	train	0.556790	0.738966	0.741206	0.739348	0.740276	0.793045	0.743084	0.00019135
400	val	0.679786	0.676806	0.666667	0.692308	0.679245	0.723330	0.673496	0.00019135
500	train	0.582443	0.725000	0.755814	0.656566	0.702703	0.767302	0.753884	0.00018660
500	val	0.619346	0.671103	0.754386	0.496154	0.598608	0.742047	0.720390	0.00018660
600	train	0.504042	0.777500	0.809249	0.714286	0.758808	0.826587	0.805077	0.00018090
600	val	0.624615	0.697719	0.709544	0.657692	0.682635	0.752407	0.742205	0.00018090
700	train	0.506533	0.788146	0.840361	0.708122	0.768595	0.826241	0.800653	0.00017431
700	val	0.723338	0.688213	0.686047	0.680769	0.683398	0.688440	0.629928	0.00017431
800	train	0.551837	0.766250	0.796020	0.752941	0.773881	0.777293	0.750980	0.00016691
800	val	0.642017	0.692015	0.696000	0.669231	0.682353	0.742684	0.711652	0.00016691
900	train	0.506069	0.781250	0.760417	0.778667	0.769433	0.827027	0.775774	0.00015878
900	val	0.678757	0.703422	0.711382	0.673077	0.691700	0.763259	0.745018	0.00015878
1000	train	0.487102	0.788146	0.782716	0.798489	0.790524	0.845842	0.825785	0.00015000
1000	val	0.693305	0.695817	0.692308	0.692308	0.692308	0.754331	0.735298	0.00015000
1100	train	0.409637	0.835000	0.865546	0.786260	0.824000	0.882561	0.874696	0.00014067
1100	val	0.675083	0.712928	0.731915	0.661538	0.694949	0.763317	0.750978	0.00014067
1200	train	0.438294	0.826250	0.814356	0.837150	0.825596	0.877247	0.840476	0.00013090
1200	val	0.660786	0.726236	0.739669	0.688462	0.713147	0.767662	0.759460	0.00013090
1300	train	0.364470	0.871375	0.876289	0.862944	0.869565	0.905920	0.885869	0.00012079
1300	val	0.688310	0.718631	0.710526	0.726923	0.718631	0.769412	0.758621	0.00012079
1400	train	0.382330	0.860000	0.859296	0.859296	0.859296	0.903366	0.872333	0.00011045
1400	val	0.702449	0.707224	0.677852	0.776923	0.724014	0.771559	0.753431	0.00011045
1500	train	0.431515	0.826250	0.800937	0.863636	0.831106	0.871297	0.818477	0.00010000
1500	val	0.619438	0.737643	0.750000	0.703846	0.726190	0.785346	0.775154	0.00010000
1600	train	0.331431	0.896595	0.878788	0.910995	0.894602	0.919023	0.880658	0.00008955
1600	val	0.694081	0.737643	0.731061	0.742308	0.736641	0.784037	0.752838	0.00008955
1700	train	0.304908	0.886250	0.869668	0.910670	0.889697	0.930712	0.888955	0.00007921
1700	val	0.713681	0.730038	0.712230	0.761538	0.736059	0.778586	0.760823	0.00007921
1800	train	0.281319	0.907500	0.904878	0.913793	0.909314	0.942634	0.920050	0.00006910
1800	val	0.755202	0.726236	0.695946	0.792308	0.741007	0.778210	0.749195	0.00006910
1900	train	0.299783	0.905422	0.894057	0.910526	0.902216	0.925427	0.891021	0.00005933
1900	val	0.732330	0.752852	0.753906	0.742308	0.748062	0.785324	0.757686	0.00005933
2000	train	0.257778	0.921250	0.910628	0.935484	0.922889	0.939656	0.916736	0.00005000
2000	val	0.745633	0.752852	0.740741	0.769231	0.754717	0.786401	0.760052	0.00005000
2100	train	0.255392	0.925000	0.916256	0.934673	0.925373	0.938033	0.910233	0.00004122
2100	val	0.735917	0.756654	0.753846	0.753846	0.753846	0.786293	0.767269	0.00004122
2200	train	0.251049	0.924338	0.908867	0.941327	0.924812	0.930315	0.897894	0.00003309
2200	val	0.742322	0.752852	0.748092	0.753846	0.750958	0.789698	0.771362	0.00003309
2300	train	0.226500	0.937500	0.914005	0.961240	0.937028	0.946325	0.909107	0.00002569
2300	val	0.753110	0.758555	0.750943	0.765385	0.758095	0.787233	0.765336	0.00002569
2400	train	0.261814	0.923750	0.911058	0.940447	0.925519	0.933759	0.911711	0.00001910
2400	val	0.762139	0.752852	0.737226	0.776923	0.756554	0.788310	0.761541	0.00001910
2500	train	0.209461	0.941992	0.930521	0.954198	0.942211	0.961689	0.943780	0.00001340
2500	val	0.769062	0.749049	0.733577	0.773077	0.752809	0.786698	0.762635	0.00001340
2600	train	0.194654	0.951250	0.938424	0.964557	0.951311	0.947901	0.912510	0.00000865
2600	val	0.780436	0.749049	0.733577	0.773077	0.752809	0.788360	0.761740	0.00000865
2700	train	0.228623	0.936250	0.917910	0.953488	0.935361	0.949957	0.912061	0.00000489
2700	val	0.785088	0.745247	0.731618	0.765385	0.748120	0.780343	0.746393	0.00000489
2800	train	0.203284	0.943253	0.922518	0.967005	0.944238	0.955193	0.938388	0.00000219
2800	val	0.791809	0.743346	0.730627	0.761538	0.745763	0.782013	0.746901	0.00000219
2900	train	0.202665	0.945000	0.931540	0.959698	0.945409	0.949300	0.922672	0.00000055
2900	val	0.792795	0.743346	0.730627	0.761538	0.745763	0.782367	0.746629	0.00000055
3000	train	0.204563	0.947500	0.935096	0.962871	0.948780	0.950401	0.928117	0.00000000
3000	val	0.792767	0.743346	0.730627	0.761538	0.745763	0.781774	0.746967	0.00000000
