Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
100	train	0.045153	0.581250	0.587940	0.577778	0.582814	0.595565	0.582631	0.00006667
100	val	0.047114	0.545627	0.522013	0.957692	0.675712	0.675354	0.626649	0.00006667
200	train	0.041214	0.616250	0.604423	0.627551	0.615770	0.674886	0.677998	0.00013333
200	val	0.040569	0.621673	0.594427	0.738462	0.658662	0.698496	0.668132	0.00013333
300	train	0.038803	0.662500	0.662953	0.614987	0.638070	0.726533	0.718079	0.00020000
300	val	0.047947	0.636882	0.767442	0.380769	0.508997	0.714618	0.702797	0.00020000
400	train	0.035772	0.722573	0.725441	0.721805	0.723618	0.789213	0.783059	0.00019932
400	val	0.040714	0.678707	0.675676	0.673077	0.674374	0.746407	0.728664	0.00019932
500	train	0.039010	0.675000	0.697674	0.606061	0.648649	0.727551	0.738795	0.00019730
500	val	0.037807	0.663498	0.669388	0.630769	0.649505	0.740529	0.739325	0.00019730
600	train	0.033920	0.751250	0.758713	0.721939	0.739869	0.811278	0.817870	0.00019397
600	val	0.039051	0.688213	0.701681	0.642308	0.670683	0.748619	0.744589	0.00019397
700	train	0.031893	0.764187	0.793201	0.710660	0.749665	0.833286	0.842420	0.00018936
700	val	0.042536	0.684411	0.669065	0.715385	0.691450	0.755444	0.762923	0.00018936
800	train	0.031683	0.757500	0.796915	0.729412	0.761671	0.837349	0.862007	0.00018355
800	val	0.051236	0.655894	0.615160	0.811538	0.699834	0.764409	0.750736	0.00018355
900	train	0.031921	0.768750	0.759563	0.741333	0.750337	0.845064	0.815629	0.00017660
900	val	0.037428	0.688213	0.667832	0.734615	0.699634	0.779497	0.786229	0.00017660
1000	train	0.027126	0.804540	0.807107	0.801008	0.804046	0.886701	0.897125	0.00016862
1000	val	0.044332	0.686312	0.711111	0.615385	0.659794	0.760374	0.748592	0.00016862
1100	train	0.024054	0.842500	0.873950	0.793893	0.832000	0.914599	0.923767	0.00015972
1100	val	0.052242	0.699620	0.690299	0.711538	0.700758	0.774291	0.754093	0.00015972
1200	train	0.024570	0.845000	0.858667	0.819338	0.838542	0.914843	0.911359	0.00015000
1200	val	0.043776	0.722433	0.726190	0.703846	0.714844	0.775781	0.759643	0.00015000
1300	train	0.021934	0.860025	0.852868	0.868020	0.860377	0.931952	0.931103	0.00013961
1300	val	0.045897	0.711027	0.680000	0.784615	0.728571	0.792684	0.781516	0.00013961
1400	train	0.020188	0.871250	0.875318	0.864322	0.869785	0.942574	0.944474	0.00012868
1400	val	0.042672	0.697719	0.650746	0.838462	0.732773	0.792178	0.777936	0.00012868
1500	train	0.021736	0.857500	0.869110	0.838384	0.853470	0.931437	0.936575	0.00011736
1500	val	0.041438	0.728137	0.769585	0.642308	0.700210	0.797687	0.797779	0.00011736
1600	train	0.012078	0.936948	0.943850	0.924084	0.933862	0.981879	0.981728	0.00010581
1600	val	0.061073	0.720532	0.708487	0.738462	0.723164	0.787854	0.779208	0.00010581
1700	train	0.014204	0.911250	0.919192	0.903226	0.911139	0.970845	0.975346	0.00009419
1700	val	0.046686	0.718631	0.766667	0.619231	0.685106	0.794505	0.790911	0.00009419
1800	train	0.012179	0.926250	0.941476	0.911330	0.926158	0.979377	0.982305	0.00008264
1800	val	0.065140	0.741445	0.748000	0.719231	0.733333	0.795221	0.793848	0.00008264
1900	train	0.010446	0.943253	0.961433	0.918421	0.939435	0.982015	0.984747	0.00007132
1900	val	0.072833	0.733840	0.732558	0.726923	0.729730	0.796515	0.790267	0.00007132
2000	train	0.007253	0.968750	0.982143	0.955335	0.968553	0.989487	0.992411	0.00006039
2000	val	0.073352	0.739544	0.745020	0.719231	0.731898	0.792835	0.784145	0.00006039
2100	train	0.009193	0.948750	0.958869	0.937186	0.947903	0.989234	0.988992	0.00005000
2100	val	0.068832	0.730038	0.754310	0.673077	0.711382	0.786618	0.783880	0.00005000
2200	train	0.006687	0.964691	0.964286	0.964286	0.964286	0.994080	0.994205	0.00004028
2200	val	0.083010	0.735741	0.731801	0.734615	0.733205	0.789886	0.778192	0.00004028
2300	train	0.005519	0.970000	0.971429	0.966408	0.968912	0.994663	0.995583	0.00003138
2300	val	0.093093	0.724335	0.727273	0.707692	0.717349	0.790486	0.783751	0.00003138
2400	train	0.003735	0.978750	0.982500	0.975186	0.978829	0.998022	0.998227	0.00002340
2400	val	0.093678	0.724335	0.713755	0.738462	0.725898	0.791816	0.791009	0.00002340
2500	train	0.002628	0.989912	0.997416	0.982188	0.989744	0.999097	0.999157	0.00001645
2500	val	0.105935	0.722433	0.717557	0.723077	0.720307	0.786126	0.776702	0.00001645
