before_umap_x,before_umap_y,after_umap_x,after_umap_y,true_label
10.896937,9.485497,4.128646,5.9888053,1
-0.6219792,7.737453,4.3624687,3.6582959,0
9.368486,10.377708,4.551581,4.402355,1
0.36901227,6.3039045,2.4555933,9.401124,1
4.205329,8.749718,4.952619,5.8293443,1
2.0492737,4.8893995,4.2696695,11.480975,1
8.622584,10.126178,3.1471887,4.2053657,1
0.35722712,5.112086,-0.11175793,11.553442,1
2.6183357,4.369774,-0.35540006,14.302183,0
8.547374,9.382205,4.3391027,6.5375237,1
11.206619,4.4379425,-0.9468128,11.830557,1
2.2678561,5.90891,2.7415326,9.708676,0
5.110797,6.0455565,-1.5949976,11.230116,0
2.270347,8.793125,3.1010346,4.8226376,0
0.8796008,5.055346,-0.20294806,11.250148,0
8.526739,10.665126,3.25342,3.500125,1
-1.8226893,4.432613,1.4727509,11.725839,0
4.12503,9.005144,3.6450896,4.769983,1
5.200906,3.8271654,-0.061224464,11.58899,1
7.966865,9.928648,4.1361136,5.86475,0
12.99158,9.209156,5.4259424,7.343492,1
7.98819,9.534298,-3.2789137,9.571182,1
-2.9177144,3.9164934,-0.46056324,11.7703495,0
6.384599,10.249735,4.0895853,3.3718214,1
9.882133,6.249025,-3.4485874,13.392446,0
-1.2407305,7.2849336,9.15234,5.1723366,1
-0.21647501,7.0498257,-2.9919202,8.449397,0
-0.23868242,7.858991,-6.4037147,10.263487,0
-2.8111773,4.5261183,0.51334137,12.352776,0
5.3422146,3.883231,-1.0895582,16.265085,0
0.21194477,4.2632685,-11.344118,6.976183,1
3.8196948,3.857165,-0.48177898,14.931995,1
4.6390305,8.591757,2.9855564,5.592529,1
-3.645578,5.9357247,0.84131837,6.617173,1
10.891991,9.830581,0.503616,2.8789942,1
8.209758,10.033752,5.008749,5.7431407,1
8.069939,9.349312,-4.653369,8.813346,0
11.739822,6.160262,-5.540978,13.043774,0
7.7318683,5.558337,4.189595,11.471401,1
12.7081,4.4359045,-3.6864467,12.974452,0
6.9323335,10.166913,3.4246151,4.254313,1
1.5233661,8.188575,0.7526971,7.6622696,0
8.400442,5.8867545,2.8057084,11.013009,1
11.058913,6.5007763,-5.52036,13.020159,0
12.424669,3.563742,6.1912704,9.774774,1
5.7843595,9.770235,1.6994209,6.689948,1
2.6591623,5.5007973,0.2919276,12.148207,0
10.517908,4.4705296,-0.11539966,15.526744,1
3.3104846,5.36167,1.8412673,12.29083,0
8.876748,10.340291,3.1212516,4.167815,1
2.9691415,6.228536,-1.2465587,8.845573,0
-3.3816037,4.538992,-1.4508079,9.603787,0
10.983188,9.817892,0.51932263,2.8990796,1
-1.1394278,5.669213,-0.6209464,9.22594,1
2.5047693,5.96023,2.546278,11.169102,1
6.3152194,10.244843,4.3331337,3.6034338,1
-2.8317556,3.9296982,-1.8420045,11.457177,0
-1.9615636,6.796491,1.423811,6.2959576,0
3.0948782,8.400619,1.9197023,6.3711305,1
-2.9337268,4.4786777,1.7058314,8.3765745,0
5.926153,8.737832,0.70260537,8.901231,1
4.7539277,7.71905,-4.291119,12.138656,1
-0.07076503,6.744101,2.263872,8.8414345,1
5.365812,9.640682,2.5133872,7.487606,0
5.230974,3.7553966,-0.37494552,14.275234,0
10.847923,6.5022235,-5.5818224,10.79485,1
10.266345,9.961406,2.983917,6.3298283,1
12.420424,4.6232877,-4.4770083,10.795116,0
1.1993028,4.8639026,2.1340194,11.803221,0
0.4226109,6.6738567,3.3225567,10.489603,0
7.6167355,9.418909,1.6107181,8.054428,1
11.3562765,9.299121,4.367397,6.669877,1
3.7327833,6.8048654,-5.2988176,12.591277,0
11.713609,4.056513,-0.54698855,12.108339,0
9.093447,6.4410453,-1.8195469,13.215957,0
6.633434,8.882177,1.4661252,8.695706,0
1.2155186,5.8925505,0.41282308,9.202864,1
-0.8894243,4.3082485,-0.38624352,14.285794,0
9.302059,7.0811734,-8.6449,11.758965,1
2.907869,7.1061096,1.9974352,8.51781,1
6.618625,7.1327806,1.2154558,8.551773,1
4.832464,3.529083,-3.3042982,6.1298156,0
11.649118,4.6974297,0.45296416,11.241585,0
-0.3909053,5.575884,-2.1078722,11.0794,1
-2.558182,5.8320885,3.4637332,8.37366,1
1.5210412,6.096253,-0.9952633,9.261238,1
-3.690783,5.3943477,1.7732433,7.5398135,1
-3.2783346,4.370208,0.25084198,8.736246,1
2.6054347,8.768496,3.2965827,4.9984484,1
1.541861,4.5472097,0.028376717,14.869927,1
2.356877,4.2041707,-0.5418573,14.909924,0
4.914041,3.8415473,-11.285902,7.0138917,1
5.9214387,9.697407,2.9424834,5.64245,1
4.9520526,4.7305574,-2.6476784,11.747925,0
6.605794,6.508064,-0.35017934,9.920819,1
7.469536,6.2284985,-0.49923813,9.288402,0
5.4806848,6.4864955,3.1146078,7.7350783,0
-2.7033472,6.090137,0.49928537,7.761185,1
2.6662548,8.040022,-2.966082,8.44726,0
8.499734,10.479214,2.9541147,5.2474093,1
-0.36120194,7.0018773,-1.7945443,8.3985815,0
10.91925,6.723309,-5.2338853,10.70046,0
-0.44190335,4.1248918,-2.9672296,6.4619074,0
11.96372,4.5820985,5.8624587,9.5103855,1
1.2248256,7.0740004,-1.0397526,11.207473,0
3.9929888,9.426787,-2.3465316,8.777845,1
-1.7265817,4.772385,1.8692073,9.030704,0
12.800533,4.362361,-5.4287004,13.924695,0
11.363272,10.155497,4.551458,4.273608,0
-0.8799201,7.6374674,3.4988375,4.3816023,1
12.353281,9.564048,5.564702,3.775174,0
6.6619525,5.555625,2.941989,11.369967,0
3.3093967,6.0959,-0.47950995,9.2664,1
-1.8773419,4.755119,-0.23108771,11.918441,0
3.0387673,4.161555,-3.3145316,6.1282864,1
0.030458272,4.6927567,0.4960591,12.390217,0
1.7768667,4.3367248,-0.41121516,14.396211,0
1.9386585,7.227553,-4.148776,10.936023,0
5.0008817,6.562871,1.6169957,10.082686,1
6.96449,5.9256334,-1.8793074,12.576204,0
-0.88733643,4.0025682,18.013855,9.85156,0
3.971656,10.232205,9.397077,4.960674,0
7.722754,9.972724,4.1673193,4.381759,1
4.001854,4.5710287,4.499132,13.302184,0
-2.090874,5.553056,0.48714402,8.562294,1
7.6044545,6.183483,0.01862543,10.080561,0
6.2240667,8.477522,1.3512728,12.126976,1
8.030858,5.968743,1.4413804,12.633746,1
8.452702,9.352804,4.3653316,6.5303955,1
4.82258,5.8320208,-1.5511293,11.773145,0
0.14871596,7.172158,2.6677384,7.181123,1
1.422653,8.142912,0.4651976,8.758444,0
3.0198436,5.4637437,2.7375152,10.174787,1
12.893816,9.17561,5.3063064,7.285019,1
0.18343297,6.466072,-1.2190871,9.404064,0
13.890412,9.20989,5.6667604,7.5517764,1
4.0400963,4.7750683,4.46564,13.243878,0
11.512995,6.2896304,-5.2701154,11.338084,0
2.4560902,7.8101954,1.5353786,13.200899,1
2.9771428,9.282359,1.5416319,6.5094123,0
-0.13177228,6.8036194,2.3375876,7.845166,1
8.737219,8.064132,-3.4380689,13.373978,1
4.145321,8.967513,3.8922012,4.432227,1
-2.1651766,3.7258024,0.21646927,11.577968,0
12.896662,9.318191,3.9838715,7.1317058,1
10.75614,10.430182,4.900529,3.580271,0
13.991566,9.256297,5.5780644,7.3981175,1
6.265893,9.191435,-1.5125366,10.357257,0
3.3514552,9.139263,3.131827,4.606311,1
11.942213,4.7334137,3.4024625,11.538544,1
11.527514,4.5401654,-0.35463667,11.912012,0
-3.7113135,5.753013,1.9657377,7.062248,1
12.53563,9.399881,4.2585073,7.0880218,0
9.632232,10.359929,3.8501122,4.472441,1
4.423183,3.8193376,-0.56313026,16.105604,0
7.2391205,9.457441,5.650553,4.082288,0
-0.5448027,5.8215327,-1.246192,10.862109,0
3.905363,9.028235,4.166665,4.731529,1
11.637879,3.5740552,0.4016386,18.3907,0
1.5153172,7.7498956,-1.8321025,8.86156,0
3.124017,8.075915,-4.65182,8.807477,0
5.1410217,9.197427,2.429785,6.0635056,1
7.1114106,5.5755777,0.82556814,10.65647,0
3.4717832,9.377927,3.9051306,3.6835766,1
