before_umap_x,before_umap_y,after_umap_x,after_umap_y,true_label
10.896937,9.485497,4.174162,8.675493,1
-0.6219792,7.737453,9.36564,10.64709,0
9.368486,10.377708,3.7722576,10.070546,1
0.36901227,6.3039045,10.149161,9.339211,1
4.205329,8.749718,8.410976,9.738544,1
2.0492737,4.8893995,8.313557,6.766988,1
8.622584,10.126178,4.2167273,9.969921,1
0.35722712,5.112086,10.403922,8.575837,1
2.6183357,4.369774,9.43719,7.3383093,0
8.547374,9.382205,4.672096,8.924218,1
11.206619,4.4379425,4.871306,5.550537,1
2.2678561,5.90891,9.43722,8.866018,0
5.110797,6.0455565,8.161593,7.4492455,0
2.270347,8.793125,7.967145,10.900636,0
0.8796008,5.055346,9.200835,8.204626,0
8.526739,10.665126,4.6257887,10.874542,1
-1.8226893,4.432613,11.539865,9.173371,0
4.12503,9.005144,5.9522343,11.327832,1
5.200906,3.8271654,7.7182403,6.4069395,1
7.966865,9.928648,5.7432494,8.7766485,0
12.99158,9.209156,1.4835557,9.307463,1
7.98819,9.534298,5.7524834,8.765523,1
-2.9177144,3.9164934,11.6778755,8.633812,0
6.384599,10.249735,5.7895956,11.326262,1
9.882133,6.249025,5.321416,7.046552,0
-1.2407305,7.2849336,9.640142,10.767054,1
-0.21647501,7.0498257,9.822295,10.702109,0
-0.23868242,7.858991,9.87212,10.920127,0
-2.8111773,4.5261183,11.883756,9.096564,0
5.3422146,3.883231,7.6554084,6.904323,0
0.21194477,4.2632685,10.329586,8.501483,1
3.8196948,3.857165,8.755264,6.210775,1
4.6390305,8.591757,7.8416343,8.121055,1
-3.645578,5.9357247,10.955081,10.8617735,1
10.891991,9.830581,2.7731688,10.190307,1
8.209758,10.033752,5.054848,9.562177,1
8.069939,9.349312,5.287277,7.5800467,0
11.739822,6.160262,2.7671034,6.2505717,0
7.7318683,5.558337,5.815477,6.0623765,1
12.7081,4.4359045,2.423422,5.7031865,0
6.9323335,10.166913,5.7318387,10.81453,1
1.5233661,8.188575,9.040636,10.60233,0
8.400442,5.8867545,5.1596036,5.9817595,1
11.058913,6.5007763,3.040404,6.4626026,0
12.424669,3.563742,4.0476127,4.2953215,1
5.7843595,9.770235,5.369469,10.390429,1
2.6591623,5.5007973,8.690456,7.716675,0
10.517908,4.4705296,4.7129483,5.298839,1
3.3104846,5.36167,8.489825,7.2369695,0
8.876748,10.340291,4.0364556,10.261392,1
2.9691415,6.228536,8.891162,8.351319,0
-3.3816037,4.538992,11.963212,9.753901,0
10.983188,9.817892,2.7442038,10.225492,1
-1.1394278,5.669213,10.580226,9.200667,1
2.5047693,5.96023,8.424469,7.6987996,1
6.3152194,10.244843,5.6977577,11.176462,1
-2.8317556,3.9296982,12.029815,9.267408,0
-1.9615636,6.796491,10.335105,10.63287,0
3.0948782,8.400619,6.6680055,11.224089,1
-2.9337268,4.4786777,11.359583,9.201263,0
5.926153,8.737832,6.8195024,8.404346,1
4.7539277,7.71905,7.1615067,7.9091997,1
-0.07076503,6.744101,10.27126,9.62397,1
5.365812,9.640682,6.836261,9.816927,0
5.230974,3.7553966,7.7713733,6.7921457,0
10.847923,6.5022235,3.8580546,6.5152764,1
10.266345,9.961406,3.4965289,9.564873,1
12.420424,4.6232877,2.9664717,5.3845496,0
1.1993028,4.8639026,8.701889,7.371408,0
0.4226109,6.6738567,9.615376,9.614524,0
7.6167355,9.418909,6.143251,7.1019173,1
11.3562765,9.299121,4.4048386,8.803396,1
3.7327833,6.8048654,8.262114,7.8476634,0
11.713609,4.056513,4.839933,5.5411425,0
9.093447,6.4410453,4.5765185,6.522016,0
6.633434,8.882177,6.7572775,8.628779,0
1.2155186,5.8925505,9.553574,8.695111,1
-0.8894243,4.3082485,10.21793,7.779499,0
9.302059,7.0811734,4.892468,6.8953085,1
2.907869,7.1061096,8.848807,8.383387,1
6.618625,7.1327806,6.729564,7.2944965,1
4.832464,3.529083,7.9048276,6.187395,0
11.649118,4.6974297,4.43486,5.654758,0
-0.3909053,5.575884,10.453691,9.218342,1
-2.558182,5.8320885,11.029459,9.710522,1
1.5210412,6.096253,9.081695,9.035438,1
-3.690783,5.3943477,11.892213,10.228791,1
-3.2783346,4.370208,11.553266,9.370324,1
2.6054347,8.768496,8.424502,10.605321,1
1.541861,4.5472097,9.291505,8.018576,1
2.356877,4.2041707,9.152474,6.8781595,0
4.914041,3.8415473,7.825987,6.3967137,1
5.9214387,9.697407,5.525127,10.680524,1
4.9520526,4.7305574,7.713682,7.152458,0
6.605794,6.508064,6.623239,7.1313553,1
7.469536,6.2284985,5.9242616,6.502752,0
5.4806848,6.4864955,7.6306257,7.144942,0
-2.7033472,6.090137,10.731909,9.922835,1
2.6662548,8.040022,9.099964,10.216023,0
8.499734,10.479214,4.3215127,10.304406,1
-0.36120194,7.0018773,9.796241,10.700149,0
10.91925,6.723309,3.200435,6.369475,0
-0.44190335,4.1248918,10.3763275,8.31025,0
11.96372,4.5820985,3.4448342,5.181372,1
1.2248256,7.0740004,10.070051,9.520687,0
3.9929888,9.426787,7.2360687,9.453461,1
-1.7265817,4.772385,10.961703,9.476641,0
12.800533,4.362361,2.5066555,5.6564655,0
11.363272,10.155497,3.2594233,9.96669,0
-0.8799201,7.6374674,10.494585,11.380155,1
12.353281,9.564048,2.4181252,9.359883,0
6.6619525,5.555625,6.7820573,6.546426,0
3.3093967,6.0959,8.770166,7.517968,1
-1.8773419,4.755119,11.021293,8.663854,0
3.0387673,4.161555,9.033689,6.751746,1
0.030458272,4.6927567,10.544943,8.206108,0
1.7768667,4.3367248,9.5220375,7.4068174,0
1.9386585,7.227553,8.958422,9.728572,0
5.0008817,6.562871,7.373331,7.646375,1
6.96449,5.9256334,6.640365,6.5725503,0
-0.88733643,4.0025682,10.42325,7.6454487,0
3.971656,10.232205,7.553139,10.363115,0
7.722754,9.972724,4.7559595,10.092433,1
4.001854,4.5710287,8.205663,7.071459,0
-2.090874,5.553056,10.741709,9.433394,1
7.6044545,6.183483,5.992249,6.5762887,0
6.2240667,8.477522,6.471898,7.8568254,1
8.030858,5.968743,5.6909666,6.471357,1
8.452702,9.352804,5.279937,8.787778,1
4.82258,5.8320208,8.22483,7.4276505,0
0.14871596,7.172158,9.380471,10.281063,1
1.422653,8.142912,9.568216,10.172931,0
3.0198436,5.4637437,8.473817,7.0147276,1
12.893816,9.17561,2.2026055,9.273315,1
0.18343297,6.466072,9.855368,9.703657,0
13.890412,9.20989,1.1098634,9.350921,1
4.0400963,4.7750683,8.548364,6.884681,0
11.512995,6.2896304,3.1333597,6.273369,0
2.4560902,7.8101954,9.111398,9.876603,1
2.9771428,9.282359,8.46073,10.615637,0
-0.13177228,6.8036194,10.26949,9.120737,1
8.737219,8.064132,5.6225195,7.487565,1
4.145321,8.967513,5.9071026,11.330061,1
-2.1651766,3.7258024,11.38719,8.660043,0
12.896662,9.318191,1.3294454,9.334695,1
10.75614,10.430182,3.3023794,9.92452,0
13.991566,9.256297,1.1067346,9.345247,1
6.265893,9.191435,6.1951714,8.593525,0
3.3514552,9.139263,6.0793023,11.381325,1
11.942213,4.7334137,4.547199,5.3168826,1
11.527514,4.5401654,4.7526045,5.96518,0
-3.7113135,5.753013,11.324316,10.780584,1
12.53563,9.399881,2.457037,9.337942,0
9.632232,10.359929,3.7798395,9.84196,1
4.423183,3.8193376,8.558337,5.9288764,0
7.2391205,9.457441,5.2724338,7.6904683,0
-0.5448027,5.8215327,10.670997,9.3354845,0
3.905363,9.028235,6.0988836,11.409203,1
11.637879,3.5740552,5.4955935,4.964946,0
1.5153172,7.7498956,9.199981,10.087571,0
3.124017,8.075915,8.013223,9.432628,0
5.1410217,9.197427,7.3792577,9.080694,1
7.1114106,5.5755777,6.667051,6.399772,0
3.4717832,9.377927,6.2619033,11.534853,1
9.851978,6.096146,4.3750753,6.700941,0
8.514013,7.111443,4.447713,7.165076,0
12.963794,9.233014,2.0392773,9.29396,1
8.829344,8.523482,6.2869954,7.819025,0
6.804121,9.902912,6.8336134,9.253375,0
12.4238405,3.6264296,4.0372257,4.3326783,1
0.8099774,7.0237784,9.377786,8.6324415,1
4.761787,6.267905,7.755579,8.07847,1
1.635147,6.5618787,9.553529,9.055562,0
1.747029,5.289366,8.777519,7.2627344,1
0.9650207,7.323031,9.886252,9.983109,1
8.243422,6.017152,5.891913,6.603488,0
-3.3838134,4.6809096,11.996151,9.677965,0
10.137376,6.220161,4.494503,6.606569,0
-0.8984176,7.279377,9.478276,10.956972,1
9.939886,6.200246,4.426314,6.6173444,0
-3.6953828,5.9286475,11.062112,10.958742,1
-3.380196,5.958143,11.333722,10.261342,0
10.894915,6.773964,3.7870057,6.611758,1
-2.7217507,5.8605466,11.427405,10.14114,0
10.913038,10.325586,3.0455832,9.793853,0
6.080844,6.159324,6.9458394,7.7836933,0
4.478438,6.41379,8.543096,9.036446,1
1.1447785,5.1592727,9.056338,7.7877784,0
8.276146,10.349477,4.7381315,10.484985,1
3.8346417,9.199783,6.1237035,11.450448,1
8.33628,7.3424025,4.719726,7.7806144,0
0.5115757,5.774131,10.125556,9.2630005,1
6.5810876,9.380111,6.201858,9.745698,1
12.701699,4.42692,2.6451712,5.593892,0
-1.5987388,6.6974115,10.471083,10.592034,0
10.382859,5.408751,4.963694,6.2139826,1
3.101082,5.4955273,8.326358,6.9957075,1
12.8028,3.985025,2.8139946,5.4390073,0
1.5971768,7.2904253,9.1827965,9.925602,1
0.6518466,7.084396,9.465251,10.159621,1
2.1675937,4.325413,9.469767,7.3888984,0
11.538858,9.741424,3.2437203,9.869756,0
0.99011797,7.0963945,9.783663,8.680915,1
4.295618,3.8665407,8.545412,5.9417086,0
8.998656,9.835597,4.7167077,9.17263,0
6.341452,5.940934,7.1403995,6.821507,1
12.672523,3.7698107,4.197051,4.2614117,1
6.394662,5.6747055,7.163267,6.7878413,1
1.9692826,6.4922705,9.291314,8.636695,0
-2.0535266,3.799212,11.683363,8.823565,0
6.526122,9.079995,6.1406317,8.495338,1
7.0047326,9.513249,5.5728836,9.8224,1
-2.7724662,5.9154077,11.044802,10.223454,0
1.5296292,7.292511,9.146696,9.822517,1
-0.9921858,5.4105086,10.953758,9.082365,0
-3.2881541,4.8554077,11.770295,9.870189,0
1.1514425,4.335463,9.593027,7.2895045,1
12.271457,3.7329087,4.0140467,4.4038925,1
-3.6464496,6.107295,10.956597,11.085361,1
7.645682,5.525383,6.027861,5.998402,1
11.426542,9.561037,2.799039,9.306216,1
3.851526,9.1552925,7.1861835,10.244519,0
11.419871,4.063944,4.9555297,4.8920093,1
11.428558,4.57923,4.6158924,5.633031,1
6.9485106,6.3830643,6.053794,6.8267794,0
-1.9815837,5.582619,11.866561,9.639742,0
-3.3555913,4.566516,11.9678135,9.653082,0
2.837198,4.180507,9.245452,6.889443,0
5.94765,8.708584,6.6256604,8.45419,1
2.0283663,6.56666,9.3665285,8.955104,1
10.83351,9.489289,2.4947064,9.331675,1
-1.833753,4.284087,10.709905,9.047184,0
12.38156,4.593568,2.945699,5.55337,0
4.704225,5.8390284,8.04769,7.2939043,0
0.7070308,6.129045,9.707767,9.7793455,0
1.9588019,6.523204,9.191445,8.595041,0
3.692423,6.8032613,8.208537,7.9953594,0
4.800749,5.687198,7.8906617,7.1652007,0
1.8252114,4.930937,9.525773,7.501482,0
2.259025,6.1869493,8.435707,8.347252,1
-1.0456175,3.7622821,10.707187,8.42677,0
-2.8388364,5.3748274,11.174056,8.923592,0
10.580501,4.430273,4.5687394,5.0239134,1
11.777205,4.3358226,5.2287536,5.179516,1
11.343119,6.4330435,3.0975618,6.3073535,0
2.7974846,7.902615,9.032921,10.056983,0
8.658336,8.43332,5.195082,6.4558673,1
6.5270123,9.203232,5.814112,8.7864065,0
4.243239,4.036476,8.570441,6.635517,1
3.6284013,6.036328,8.48939,8.264875,1
2.7625427,8.097365,8.481072,9.838703,0
-3.7549233,5.9317303,11.792667,10.403209,0
1.7329252,5.639328,9.568856,8.917321,0
-2.3483155,3.9095688,11.658127,9.002389,0
9.372588,9.751586,3.7693799,9.699706,1
11.024103,10.685933,3.1508675,10.617468,1
0.37201282,5.4844723,9.0599,8.159394,0
10.307464,6.9591365,3.48687,6.691136,0
-0.76736146,6.258026,10.302728,10.191473,0
2.998164,7.8067017,8.599108,9.258082,0
1.7645323,8.508669,9.008071,10.686306,1
8.042535,5.467208,5.748918,6.047014,1
0.22520034,6.613997,9.584653,9.471852,1
3.0890822,7.798189,8.143359,8.432602,0
10.9877205,9.390578,3.5422685,9.520512,1
0.6414341,6.5893297,9.008996,9.641476,0
2.1954262,6.0682797,9.630875,8.968769,0
5.8665395,5.5204954,7.816965,6.66105,1
2.7253041,8.855503,6.495222,11.409962,1
8.543454,10.424562,4.168233,10.403588,1
9.940377,6.331885,4.2886405,6.3598394,1
13.817644,9.196752,1.2059171,9.418275,1
2.7097414,8.019758,8.930947,10.389335,0
5.4520087,9.265158,6.3683963,9.732363,1
13.632516,9.408905,1.1630039,9.3598995,1
4.1507597,5.728769,7.9164267,8.535611,1
7.7218113,9.17455,5.5150065,8.2953615,1
-3.4885867,5.0275764,11.927951,9.881519,0
5.7854304,6.515124,6.3983426,7.262422,0
-1.0349872,6.1931353,10.537149,9.5576935,1
11.641074,3.6004994,5.300014,4.8763723,1
2.6580071,7.5648327,8.813528,8.788554,0
5.4933577,5.812085,7.3579383,7.878929,1
-2.9327512,5.721889,11.510991,10.115529,0
2.3865058,8.759225,8.662269,10.397064,0
-0.19212508,4.162103,10.7231,8.947575,1
5.485615,9.166724,6.5778694,8.662999,0
7.4420204,6.225018,6.056848,6.5458326,0
8.130195,10.657075,5.066313,10.885072,1
12.88348,9.1198635,2.1646767,9.2144,0
-3.7204728,5.965155,10.949567,10.873454,1
5.0809836,9.259499,7.0582485,9.251493,0
11.162781,4.8400135,5.546136,5.759146,1
-0.9059993,6.2740607,10.573046,9.545463,0
5.7060885,6.512637,7.3658614,7.7443056,1
7.0773597,7.557303,4.867382,7.3486643,0
10.293976,6.9146943,3.644255,6.757925,0
-1.1288745,5.6258764,10.473073,9.38395,1
2.7602823,4.2533774,8.554463,7.388367,1
-2.9415405,4.28515,11.894109,9.212092,0
10.227119,5.772166,4.459552,6.04581,0
-3.6590028,6.046703,10.962063,10.933242,1
-1.7209917,3.9436774,11.58538,8.680574,0
2.8470352,6.6562953,9.390218,8.921217,0
5.4000354,3.627362,7.426931,6.1853795,0
6.995801,2.9408228,5.5944004,5.069813,0
-0.41165367,5.442523,10.206318,8.61533,1
3.0827658,4.14414,8.794846,6.493219,0
8.971111,9.790215,4.6759486,9.1500635,0
1.2811068,7.4240556,9.587682,10.043538,1
0.6074592,6.451967,9.378463,9.797304,0
4.589723,7.3564634,7.6429477,8.006457,0
11.690499,4.0107102,5.59216,4.8803535,0
-3.737429,5.79697,11.881843,10.292305,0
5.052773,6.203511,7.550068,7.4514613,0
-3.5604973,5.9181495,11.453944,10.462893,0
-2.6427624,5.8327613,11.064128,9.277563,1
-0.18315426,4.1517963,10.282328,8.244619,0
4.3048615,8.740057,7.3553777,8.490436,1
1.784887,4.8900757,8.914582,7.1244535,0
3.587747,9.273517,6.1099997,11.402729,1
-1.1885662,5.2678556,10.733553,9.6837635,0
5.723309,6.2930245,6.807883,7.0910974,0
1.4632969,4.762728,9.177533,7.850237,0
11.600795,6.198029,3.1497414,6.218339,0
7.688483,5.995953,5.9623904,6.2704387,0
4.5735373,3.6120768,8.095669,6.4693937,0
-0.59042376,5.0278435,11.122813,8.910869,0
-1.5628959,5.3310857,10.764401,9.195569,0
-3.7154233,5.8779407,11.57023,10.593004,0
-2.8898544,4.20305,11.456649,9.290666,1
3.342523,4.227864,8.72001,7.1559615,0
1.8418634,5.500763,8.6371975,8.23736,0
-2.5255516,4.895864,11.906644,9.483416,0
8.605282,10.588224,4.58168,9.769637,0
6.8661766,5.5136313,6.7612667,6.897092,1
