before_umap_x,before_umap_y,after_umap_x,after_umap_y,true_label
10.896937,9.485497,8.319836,-1.950756,1
-0.6219792,7.737453,3.4385996,-2.1866624,0
9.368486,10.377708,7.926959,-2.427449,1
0.36901227,6.3039045,-1.2116349,0.9667015,1
4.205329,8.749718,2.9028873,-1.4801892,1
2.0492737,4.8893995,-3.2043467,4.3467236,1
8.622584,10.126178,6.685112,-1.9377944,1
0.35722712,5.112086,-2.7055357,2.315369,1
2.6183357,4.369774,-2.030117,3.2450316,0
8.547374,9.382205,6.2405143,-1.0811303,1
11.206619,4.4379425,2.0804212,7.389894,1
2.2678561,5.90891,-1.7619652,2.459231,0
5.110797,6.0455565,-0.6329567,3.405574,0
2.270347,8.793125,2.6621351,-1.937189,0
0.8796008,5.055346,-2.1136563,2.7674537,0
8.526739,10.665126,7.498743,-2.6278484,1
-1.8226893,4.432613,-3.5773852,1.5098807,0
4.12503,9.005144,4.317845,-2.2294898,1
5.200906,3.8271654,-1.0406021,5.2827764,1
7.966865,9.928648,5.4436707,-1.0237347,0
12.99158,9.209156,10.724406,-0.8088739,1
7.98819,9.534298,5.006351,-0.61838925,1
-2.9177144,3.9164934,-3.479798,0.652086,0
6.384599,10.249735,6.449384,-2.5916247,1
9.882133,6.249025,2.880726,7.346377,0
-1.2407305,7.2849336,0.5044159,-1.4195058,1
-0.21647501,7.0498257,-0.27193722,-0.696074,0
-0.23868242,7.858991,1.3158872,-0.9339643,0
-2.8111773,4.5261183,-3.588488,1.0693051,0
5.3422146,3.883231,-0.9463702,5.5457816,0
0.21194477,4.2632685,-2.0935824,2.2332897,1
3.8196948,3.857165,-2.1046882,4.2603307,1
4.6390305,8.591757,0.92979693,2.63104,1
-3.645578,5.9357247,0.34208965,-1.5660785,1
10.891991,9.830581,9.080832,-1.3136048,1
8.209758,10.033752,7.4821987,-1.9399419,1
8.069939,9.349312,1.7301835,3.0972533,0
11.739822,6.160262,4.3371425,7.5525455,0
7.7318683,5.558337,0.63455355,5.751806,1
12.7081,4.4359045,3.9531877,8.30662,0
6.9323335,10.166913,6.919144,-2.6147745,1
1.5233661,8.188575,1.2380329,-1.4201037,0
8.400442,5.8867545,1.3845656,5.834877,1
11.058913,6.5007763,4.0590615,7.3593464,0
12.424669,3.563742,1.7031356,8.751735,1
5.7843595,9.770235,4.485041,-2.1119483,1
2.6591623,5.5007973,-2.3615158,2.7647066,0
10.517908,4.4705296,1.436069,6.759404,1
3.3104846,5.36167,-2.9446976,3.7300956,0
8.876748,10.340291,7.2685127,-2.4865072,1
2.9691415,6.228536,-1.0215694,2.8935587,0
-3.3816037,4.538992,-1.669813,-1.2251518,0
10.983188,9.817892,9.087019,-1.2912036,1
-1.1394278,5.669213,-2.139845,0.5010141,1
2.5047693,5.96023,-2.6080616,3.9466825,1
6.3152194,10.244843,6.712172,-2.5946102,1
-2.8317556,3.9296982,-3.3325438,0.68993145,0
-1.9615636,6.796491,0.7444466,-2.219541,0
3.0948782,8.400619,3.3230205,-2.3570752,1
-2.9337268,4.4786777,-2.8374517,0.052531075,0
5.926153,8.737832,3.6768222,-0.09017191,1
4.7539277,7.71905,0.09856805,3.3776305,1
-0.07076503,6.744101,-1.1848886,1.03424,1
5.365812,9.640682,4.3281226,-1.6072373,0
5.230974,3.7553966,-1.1075828,5.1279793,0
10.847923,6.5022235,4.5570607,7.1256213,1
10.266345,9.961406,8.096792,-1.5781454,1
12.420424,4.6232877,3.616718,7.956393,0
1.1993028,4.8639026,-3.1967955,3.556515,0
0.4226109,6.6738567,-1.2576331,0.19888382,0
7.6167355,9.418909,5.631858,-1.1284387,1
11.3562765,9.299121,9.78884,-0.834334,1
3.7327833,6.8048654,-1.4279633,3.0176895,0
11.713609,4.056513,2.371536,7.772283,0
9.093447,6.4410453,1.9161308,5.8865213,0
6.633434,8.882177,4.054966,-0.4547688,0
1.2155186,5.8925505,-1.151723,1.459731,1
-0.8894243,4.3082485,-2.822751,2.3596895,0
9.302059,7.0811734,3.000451,5.9097095,1
2.907869,7.1061096,0.47771612,1.8467164,1
6.618625,7.1327806,0.8457693,4.6846046,1
4.832464,3.529083,-1.5241308,4.879599,0
11.649118,4.6974297,2.7117202,7.354283,0
-0.3909053,5.575884,-2.2205827,0.73133934,1
-2.558182,5.8320885,-0.87487656,-0.87866944,1
1.5210412,6.096253,-1.1193473,1.5828885,1
-3.690783,5.3943477,-0.7058588,-1.5922587,1
-3.2783346,4.370208,-3.286931,-0.1493122,1
2.6054347,8.768496,2.8139768,-1.621229,1
1.541861,4.5472097,-2.4168303,3.2370799,1
2.356877,4.2041707,-2.0516012,3.3646855,0
4.914041,3.8415473,-0.9442693,5.6061444,1
5.9214387,9.697407,5.8195615,-2.0773919,1
4.9520526,4.7305574,-1.164345,5.4794407,0
6.605794,6.508064,1.0695777,4.648602,1
7.469536,6.2284985,1.3111805,5.2539334,0
5.4806848,6.4864955,-0.35678807,4.151998,0
-2.7033472,6.090137,-0.06913771,-1.6794347,1
2.6662548,8.040022,1.1487591,0.19799846,0
8.499734,10.479214,7.6056,-2.4976673,1
-0.36120194,7.0018773,-0.16998021,-0.78444505,0
10.91925,6.723309,4.7350225,7.097705,0
-0.44190335,4.1248918,-2.711048,1.5761598,0
11.96372,4.5820985,1.9652227,8.560592,1
1.2248256,7.0740004,-0.9395895,1.9584414,0
3.9929888,9.426787,3.7747016,-1.6165196,1
-1.7265817,4.772385,-2.367078,1.0812615,0
12.800533,4.362361,3.870009,8.277511,0
11.363272,10.155497,8.563839,-2.280977,0
-0.8799201,7.6374674,0.91503775,-1.9111764,1
12.353281,9.564048,9.472882,-1.4788934,0
6.6619525,5.555625,0.3086813,5.36667,0
3.3093967,6.0959,-0.98535043,2.94536,1
-1.8773419,4.755119,-3.0003104,1.5960066,0
3.0387673,4.161555,-2.210501,4.2282176,1
0.030458272,4.6927567,-2.6169055,2.4284742,0
1.7768667,4.3367248,-2.1190953,3.0312228,0
1.9386585,7.227553,-1.231922,1.4632431,0
5.0008817,6.562871,0.5157919,4.312808,1
6.96449,5.9256334,1.1214007,5.015842,0
-0.88733643,4.0025682,0.21658133,0.48079956,0
3.971656,10.232205,2.634144,-0.9851186,0
7.722754,9.972724,6.755662,-1.928349,1
4.001854,4.5710287,-2.829061,4.40406,0
-2.090874,5.553056,-2.3884933,0.33771613,1
7.6044545,6.183483,1.2251824,5.480125,0
6.2240667,8.477522,1.6992329,3.6190264,1
8.030858,5.968743,2.4465604,7.166425,1
8.452702,9.352804,6.169787,-1.0336807,1
4.82258,5.8320208,-1.1528376,3.3198605,0
0.14871596,7.172158,0.66530395,-1.2773265,1
1.422653,8.142912,1.3161806,-1.9543185,0
3.0198436,5.4637437,-2.7376394,4.079756,1
12.893816,9.17561,10.364895,-0.36213946,1
0.18343297,6.466072,-2.3919365,1.7884251,0
13.890412,9.20989,10.775986,-0.8185578,1
4.0400963,4.7750683,-2.7359695,4.271666,0
11.512995,6.2896304,4.7700477,7.3147144,0
2.4560902,7.8101954,-0.34011522,2.2187088,1
2.9771428,9.282359,3.310447,-1.9384811,0
-0.13177228,6.8036194,-1.4917345,0.86818725,1
8.737219,8.064132,2.811775,5.288937,1
4.145321,8.967513,4.192374,-2.242872,1
-2.1651766,3.7258024,-3.6819274,0.597309,0
12.896662,9.318191,10.537792,-0.96975714,1
10.75614,10.430182,8.872711,-1.9529681,0
13.991566,9.256297,10.770513,-0.899353,1
6.265893,9.191435,4.8979783,-1.1320872,0
3.3514552,9.139263,4.066431,-2.073392,1
11.942213,4.7334137,1.9674556,8.634617,1
11.527514,4.5401654,2.3946943,7.4539433,0
-3.7113135,5.753013,-0.30016884,-2.015808,1
12.53563,9.399881,10.437297,-0.7759516,0
9.632232,10.359929,8.12338,-2.2832918,1
4.423183,3.8193376,-1.2896547,5.765939,0
7.2391205,9.457441,5.9657583,-1.1799468,0
-0.5448027,5.8215327,-2.772692,2.2930489,0
3.905363,9.028235,3.950271,-1.9669309,1
11.637879,3.5740552,1.1281859,7.4754148,0
1.5153172,7.7498956,0.7606823,-1.0146945,0
3.124017,8.075915,1.4338197,2.037201,0
5.1410217,9.197427,4.690593,-1.5070386,1
7.1114106,5.5755777,0.26906088,5.505406,0
3.4717832,9.377927,4.37314,-2.1493015,1
9.851978,6.096146,3.364694,6.8008323,0
8.514013,7.111443,2.5874903,4.5380936,0
12.963794,9.233014,10.590996,-0.712746,1
8.829344,8.523482,2.2599387,4.3638787,0
6.804121,9.902912,5.3226604,-1.5668054,0
12.4238405,3.6264296,1.7283521,8.713455,1
0.8099774,7.0237784,-1.8327092,0.9345272,1
