before_umap_x,before_umap_y,after_umap_x,after_umap_y,true_label
10.896937,9.485497,3.8304355,6.1014514,1
-0.6219792,7.737453,9.112727,7.9917703,0
9.368486,10.377708,4.5666614,7.1238894,1
0.36901227,6.3039045,10.302262,5.1465807,1
4.205329,8.749718,8.607512,6.3935113,1
2.0492737,4.8893995,9.886834,2.470535,1
8.622584,10.126178,5.369658,7.139509,1
0.35722712,5.112086,10.798752,4.0397873,1
2.6183357,4.369774,9.724087,3.321871,0
8.547374,9.382205,5.4584656,5.73445,1
11.206619,4.4379425,4.1424704,2.5022042,1
2.2678561,5.90891,9.43077,4.2774568,0
5.110797,6.0455565,8.772931,3.7344973,0
2.270347,8.793125,10.010916,6.7220273,0
0.8796008,5.055346,9.73218,3.9824064,0
8.526739,10.665126,5.7994556,7.711502,1
-1.8226893,4.432613,11.542721,4.2272196,0
4.12503,9.005144,8.078385,7.5096602,1
5.200906,3.8271654,7.955696,2.6937137,1
7.966865,9.928648,5.853592,5.7188845,0
12.99158,9.209156,2.2138095,7.137586,1
7.98819,9.534298,5.690476,6.0473347,1
-2.9177144,3.9164934,12.62807,4.9199862,0
6.384599,10.249735,7.3617153,7.7346897,1
9.882133,6.249025,4.330077,3.232773,0
-1.2407305,7.2849336,12.917846,7.125546,1
-0.21647501,7.0498257,9.85876,7.03937,0
-0.23868242,7.858991,10.377808,6.646583,0
-2.8111773,4.5261183,12.246412,5.0189123,0
5.3422146,3.883231,8.019925,2.7706692,0
0.21194477,4.2632685,9.806313,3.2780023,1
3.8196948,3.857165,8.856719,2.3685887,1
4.6390305,8.591757,8.876024,4.922382,1
-3.645578,5.9357247,12.204191,7.114732,1
10.891991,9.830581,4.079785,7.546993,1
8.209758,10.033752,5.3987274,6.383894,1
8.069939,9.349312,5.6565814,5.3987985,0
11.739822,6.160262,2.6003318,3.5491505,0
7.7318683,5.558337,5.3102517,2.8905206,1
12.7081,4.4359045,1.923078,3.0623093,0
6.9323335,10.166913,7.114172,7.644481,1
1.5233661,8.188575,9.562664,7.151372,0
8.400442,5.8867545,4.375016,3.0113232,1
11.058913,6.5007763,2.9155777,3.5628803,0
12.424669,3.563742,3.867615,1.245714,1
5.7843595,9.770235,6.9253163,6.7559443,1
2.6591623,5.5007973,10.168447,3.3408902,0
10.517908,4.4705296,4.1853266,3.4182231,1
3.3104846,5.36167,9.979847,2.8579504,0
8.876748,10.340291,4.7302217,6.925988,1
2.9691415,6.228536,9.295568,4.147724,0
-3.3816037,4.538992,12.792711,5.6552033,0
10.983188,9.817892,4.042232,7.558418,1
-1.1394278,5.669213,11.525372,5.496904,1
2.5047693,5.96023,8.816147,5.4499826,1
6.3152194,10.244843,7.552073,7.739907,1
-2.8317556,3.9296982,12.614592,5.1656227,0
-1.9615636,6.796491,12.077073,6.9614925,0
3.0948782,8.400619,8.751762,6.1858516,1
-2.9337268,4.4786777,12.571038,5.611055,0
5.926153,8.737832,6.597748,5.2444906,1
4.7539277,7.71905,8.444797,4.775833,1
-0.07076503,6.744101,10.547632,5.992139,1
5.365812,9.640682,8.588631,8.487901,0
